
Project:     EXP18-02_ReferenceTrajectory_3GCCAntenna
Program:     Inertial Explorer Version 8.70.6404
Profile:     RF_VelcityData
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\Danilo\Desktop\EXP18-02\Reference_Trajectory\EXP18-02_ReferenceTrajectory_3GCCAntenna.cts
ProcessInfo: EXP18-02_ReferenceTrajectory_3GCCAntenna by Unknown on 7/31/2018 at 13:01:53

Datum:       WGS84
Master 1:    Name RDAM, Status ENABLED
             Antenna height 0.000 m, to L1PC [TPSCR.G3(TPSH)]
             Lat, Lon, El Hgt 51 57 10.05347, 4 33 33.43064, 82.876 m [WGS84, N/A]
Remote:      Antenna height 0.000 m, to L1PC [NAX3G+C(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.183, y=1.447, z=1.851 m (x-right, y-fwd, z-up)
Body to Sensor Rotations:
             xRot=0.000, yRot=0.000, zRot=0.000 degrees (Rotate IMU into Vehicle Frame)
IMU->Secondary Sensor Lever Arms: 
            x=0.183, y=1.447, z=1.851 m (x-right, y-fwd, z-up, IMU->SENSOR)

      Week,  GPSTime,      X-ECEF,      Y-ECEF,      Z-ECEF,  VX-ECEF,  VY-ECEF,  VZ-ECEF
   (weeks),    (sec),         (m),         (m),         (m),    (m/s),    (m/s),    (m/s)
      2011, 389962.0, 3929386.285,  305267.957, 4997957.879,   -0.002,   -0.001,    0.000
      2011, 389963.0, 3929386.285,  305267.957, 4997957.879,   -0.001,   -0.002,    0.001
      2011, 389964.0, 3929386.285,  305267.957, 4997957.879,   -0.000,   -0.003,   -0.002
      2011, 389965.0, 3929386.285,  305267.957, 4997957.879,   -0.001,   -0.000,   -0.001
      2011, 389966.0, 3929386.285,  305267.957, 4997957.879,   -0.000,   -0.000,   -0.001
      2011, 389967.0, 3929386.285,  305267.957, 4997957.879,    0.001,    0.001,   -0.001
      2011, 389968.0, 3929386.285,  305267.957, 4997957.879,   -0.001,    0.001,    0.001
      2011, 389969.0, 3929386.285,  305267.957, 4997957.879,    0.000,    0.002,    0.002
      2011, 389970.0, 3929386.285,  305267.957, 4997957.879,    0.001,   -0.001,   -0.002
      2011, 389971.0, 3929386.285,  305267.957, 4997957.879,    0.002,    0.003,   -0.003
      2011, 389972.0, 3929386.285,  305267.957, 4997957.879,    0.001,   -0.001,   -0.001
      2011, 389973.0, 3929386.285,  305267.957, 4997957.879,    0.001,    0.001,   -0.001
      2011, 389974.0, 3929386.285,  305267.956, 4997957.879,    0.001,    0.004,   -0.001
      2011, 389975.0, 3929386.285,  305267.956, 4997957.879,    0.000,   -0.000,   -0.002
      2011, 389976.0, 3929386.285,  305267.956, 4997957.879,    0.000,    0.003,   -0.000
      2011, 389977.0, 3929386.285,  305267.956, 4997957.879,   -0.000,    0.001,    0.001
      2011, 389978.0, 3929386.285,  305267.956, 4997957.879,   -0.000,   -0.002,   -0.000
      2011, 389979.0, 3929386.285,  305267.956, 4997957.879,   -0.008,   -0.004,    0.001
      2011, 389980.0, 3929386.285,  305267.957, 4997957.879,    0.001,    0.003,    0.000
      2011, 389981.0, 3929386.285,  305267.957, 4997957.879,   -0.003,   -0.008,    0.001
      2011, 389982.0, 3929386.285,  305267.957, 4997957.879,    0.002,    0.007,   -0.000
      2011, 389983.0, 3929386.285,  305267.957, 4997957.879,   -0.001,   -0.006,   -0.001
      2011, 389984.0, 3929386.285,  305267.957, 4997957.879,    0.001,    0.006,    0.001
      2011, 389985.0, 3929386.285,  305267.957, 4997957.879,    0.003,    0.010,    0.002
      2011, 389986.0, 3929386.285,  305267.956, 4997957.879,   -0.004,   -0.009,    0.001
      2011, 389987.0, 3929386.285,  305267.957, 4997957.879,    0.003,    0.004,   -0.002
      2011, 389988.0, 3929386.285,  305267.957, 4997957.879,   -0.001,   -0.002,   -0.001
      2011, 389989.0, 3929386.285,  305267.957, 4997957.879,   -0.000,    0.001,   -0.000
      2011, 389990.0, 3929386.285,  305267.957, 4997957.879,    0.000,    0.000,   -0.001
      2011, 389991.0, 3929386.285,  305267.957, 4997957.879,    0.001,    0.002,   -0.001
      2011, 389992.0, 3929386.285,  305267.957, 4997957.879,   -0.001,   -0.001,    0.001
      2011, 389993.0, 3929386.285,  305267.957, 4997957.879,    0.001,    0.003,   -0.001
      2011, 389994.0, 3929386.285,  305267.957, 4997957.879,   -0.001,    0.000,    0.001
      2011, 389995.0, 3929386.285,  305267.957, 4997957.879,   -0.000,    0.003,    0.002
      2011, 389996.0, 3929386.285,  305267.957, 4997957.879,    0.001,    0.004,    0.001
      2011, 389997.0, 3929386.285,  305267.957, 4997957.879,   -0.001,   -0.001,    0.000
      2011, 389998.0, 3929386.285,  305267.957, 4997957.879,    0.000,    0.001,    0.001
      2011, 389999.0, 3929386.285,  305267.957, 4997957.879,   -0.001,    0.000,    0.001
      2011, 390000.0, 3929386.285,  305267.957, 4997957.879,    0.001,    0.002,    0.000
      2011, 390001.0, 3929386.285,  305267.957, 4997957.879,    0.000,   -0.002,   -0.000
      2011, 390002.0, 3929386.285,  305267.957, 4997957.879,    0.001,    0.001,    0.000
      2011, 390003.0, 3929386.285,  305267.957, 4997957.879,    0.001,   -0.001,   -0.001
      2011, 390004.0, 3929386.285,  305267.957, 4997957.879,    0.002,    0.003,   -0.000
      2011, 390005.0, 3929386.285,  305267.957, 4997957.879,    0.001,    0.000,   -0.001
      2011, 390006.0, 3929386.285,  305267.957, 4997957.879,   -0.000,   -0.001,    0.002
      2011, 390007.0, 3929386.285,  305267.957, 4997957.879,    0.001,   -0.001,   -0.001
      2011, 390008.0, 3929386.285,  305267.957, 4997957.879,    0.000,   -0.000,    0.000
      2011, 390009.0, 3929386.285,  305267.957, 4997957.879,    0.000,   -0.000,    0.001
      2011, 390010.0, 3929386.285,  305267.957, 4997957.879,    0.001,    0.003,   -0.000
      2011, 390011.0, 3929386.285,  305267.957, 4997957.879,   -0.000,   -0.002,    0.001
      2011, 390012.0, 3929386.285,  305267.957, 4997957.879,    0.001,    0.000,   -0.001
      2011, 390013.0, 3929386.285,  305267.957, 4997957.879,   -0.000,   -0.001,    0.001
      2011, 390014.0, 3929386.285,  305267.957, 4997957.879,    0.001,    0.001,   -0.000
      2011, 390015.0, 3929386.285,  305267.957, 4997957.879,    0.001,    0.001,   -0.001
